Location Names,GUIJA,FINCA LOS ANDES,CANDELARIA DE LA FRONTERA,PLANES DE MONTECRISTO,SANTA ANA-UNICAES,CONCEPCION QUEZALTEPEQUE,LAS PILAS,NUEVA CONCEPCION,LA PALMA,PROCAFE,SAN ANDRES
Location Ids,A15,A18,A27,A31,A37,G12,G13,G3,G4,L48,L4
Time,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion
2000-03-13 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-03-14 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0.9
2000-03-15 07:00:00,0,0,0,0,0,-999,5,0,7.3,-999,0
2000-03-16 07:00:00,0,0.2,0,0,0,-999,0,0,0,-999,0
2000-03-17 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0.3
2000-03-18 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-03-19 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-03-20 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-03-21 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-03-22 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-03-23 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-03-24 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-03-25 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-03-26 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-03-27 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-03-28 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-03-29 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-03-30 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-03-31 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-04-01 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-04-02 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-04-03 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-04-04 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
