Location Names,GUIJA,FINCA LOS ANDES,CANDELARIA DE LA FRONTERA,PLANES DE MONTECRISTO,SANTA ANA-UNICAES,LAS PILAS,NUEVA CONCEPCION,LA PALMA,SAN ANDRES
Location Ids,A15,A18,A27,A31,A37,G13,G3,G4,L4
Time,ETo,ETo,ETo,ETo,ETo,ETo,ETo,ETo,ETo
2012-02-04 07:00:00,5.3501853805649,3.46576395131837,4.4743210652486,3.57869096291616,4.87079954888525,3.57389061995898,5.2613964646961,4.1088166539456,4.78448769499091
2012-02-05 07:00:00,5.0817094245131,3.02532093643638,4.18202174174522,3.26332339163321,4.65893004142813,2.94000240571385,4.99263766945464,3.85326496733338,4.33097470874586
2012-02-06 07:00:00,5.22047803059265,2.91672431293283,4.0358096261154,2.51900847826163,4.44673632475501,2.66592662437809,4.90030720052659,3.40198901489616,4.48902121421877
2012-02-07 07:00:00,4.94779251197894,3.16088657269905,4.08797100612905,3.02203030603542,4.47816554563851,2.8371468805686,4.55845756726405,3.50594025408,4.33139765388203
2012-02-08 07:00:00,2.94179219970345,2.00886438433566,2.12934164747245,2.16974454332635,-999,1.98214921757388,3.60738636850319,2.35473185207756,3.36008713483084
2012-02-09 07:00:00,5.01595519786152,3.36261898020694,4.2541015581196,3.52337541900129,4.51184227387295,3.1382457640751,5.28265811922917,3.76252867680997,4.89429164876833
2012-02-10 07:00:00,5.19038691585986,3.42676167498248,4.29849147862762,3.59431890707864,5.08812274133555,3.47982089193548,5.21111928807043,4.24581465028851,4.53284030909673
2012-02-11 07:00:00,5.08950292803544,3.6407920682194,4.06468496329247,2.98889373533965,4.62781168719257,3.20002046157418,5.15866931429979,4.08003767492194,4.73896803091475
2012-02-12 07:00:00,5.11075740872617,3.10532678754608,4.14401288387054,2.54701524342654,4.77504036400828,2.27365415881273,5.0177480484761,3.39581009736558,4.79559589096153
2012-02-13 07:00:00,4.61244508009834,3.17178754250885,4.28327171728916,3.35333029679726,4.46614895559112,3.00993585970324,5.02891597202044,3.77998942704873,4.25927548597834
2012-02-14 07:00:00,5.4721116930041,3.59947127615266,4.95258610162141,3.86400073313011,5.28045197279402,3.94574600876068,5.15834770744077,5.00748450096758,4.84067003053566
2012-02-15 07:00:00,5.06989374182375,3.35652427213526,5.01671322884639,3.7402402179585,5.03226123673796,3.65380707092648,5.28916759138912,4.67308232911539,4.89166604197066
2012-02-16 07:00:00,5.50225774684392,3.54887606810493,4.80265037777227,3.72005098657886,5.24448074990577,3.58413214389089,5.45313277915595,4.80595520223665,4.94821897325115
2012-02-17 07:00:00,5.19344260319031,3.25098040475667,4.71489066324012,3.77332992793749,4.65442450987847,3.47456118683885,4.92243506202606,4.47067246494014,4.44316254760172
2012-02-18 07:00:00,4.51607623602253,3.14749213787787,3.96228805487919,2.86484153150099,4.10371500185056,3.30800149061758,4.22949728805925,3.87390226529011,3.56678855262068
2012-02-19 07:00:00,5.70647192079104,3.76859606205682,5.28913742122207,3.82263230202716,5.5107710784198,3.5440171949972,5.28455938797364,5.00046152920009,5.07860682913387
2012-02-20 07:00:00,5.74158649106888,3.60424285392799,5.21469591440669,3.81975455679688,4.97866224189345,3.52184903326395,5.20394065536429,4.86713818559705,4.75878903877829
2012-02-21 07:00:00,5.34442306081788,3.64683623869234,4.62645318485118,3.6436989731417,5.2955551363801,3.34279116975569,5.36655428877397,4.54503660129521,4.97522725363811
2012-02-22 07:00:00,5.3545494989223,3.743694335279,4.50109863845834,3.889724699426,4.99086929736705,3.64282808333355,5.25296646316457,5.05027003162197,4.82085155157493
2012-02-23 07:00:00,5.39721372641068,3.72586578585866,4.9395141605779,3.74227062661333,4.93185412897368,3.85527485753279,5.13721136261004,4.80202124857519,4.70838334744735
2012-02-24 07:00:00,5.65251077817806,3.88000712057171,5.14438980044057,4.13539638818927,5.05708233342179,3.99573118518857,5.32503831809576,4.77930245676968,5.05024041032025
2012-02-25 07:00:00,5.48400589401973,3.51449725205631,5.09140315433164,3.30254320312365,5.42974529705362,3.47182896619638,5.64169827831654,4.75698626689244,5.15526138896153
2012-02-26 07:00:00,5.6270619158885,3.82592315219706,4.42972767505846,3.11332047190232,5.11637494403725,2.86448633037431,5.49746250892585,4.13842305755133,5.04477595442884
