ID,NAME,SOURCE,LATITUDE,LONGITUDE,GAUGE_TYPE,PARAMETER,TEMPORAL_RESOLUTION_P,TEMPORAL_RESOLUTION_H,TEMPORAL_RESOLUTION_T,CALIBRATION,OPERATIONAL
133,Volcan San Miguel 2,MARN,13.4412,-88.2723,MET,PT,10 min,,10 min,no,yes
134,VSM_La Piedra 1,MARN,13.4352,-88.2997,MET,PT,10 min,,10 min,no,yes
138,Dulce Nombre de María,MARN,14.1997,-89.0107,MET,PT,10 min,,10 min,yes,yes
143,Paso del Oso,MARN,14.0910,-89.4160,HIDRO,PHQ,5 min,15 min,,yes,yes
149,AgrC Chalatenango,MARN,14.0422,-88.9694,MET,PT,10 min,,10 min,no,yes
249,Ciudad Arce,MARN,13.8300,-89.4373,PLUVIO,P,5 min,,,yes,yes
250,CitalaR,MARN,14.3703,-89.2126,HIDRO,PHQ,5 min,15 min,,yes,yes
252,Nuevo Cuscatlan,MARN,13.6210,-89.2640,PLUVIO,P,5 min,,,no,yes
253,San Simon,MARN,13.5745,-88.5461,HIDRO,PH,5 min,15 min,,no,yes
254,Acomunca,MARN,13.4446,-88.8831,HIDRO,PH,5 min,15 min,,no,yes
255,El Naranjo,MARN,13.6970,-89.9380,HIDRO,PH,5 min,15 min,,no,yes
256,Chilama,MARN,13.4919,-89.3254,HIDRO,PH,5 min,15 min,,no,yes
257,Metayate,MARN,14.1421,-89.2131,HIDRO,PHQ,5 min,15 min,,yes,yes
258,San Lorenzo,MARN,14.0343,-89.7771,HIDRO,PH,5 min,15 min,,no,yes
259,Cara Sucia,MARN,13.7739,-90.0445,HIDRO,PH,5 min,15 min,,no,yes
260,Banderas,MARN,13.5880,-89.7350,HIDRO,PH,5 min,15 min,,no,yes
262,El Desparramo,MARN,13.2900,-88.5404,HIDRO,PH,5 min,15 min,,no,yes
263,Jalponga,MARN,13.5012,-88.9463,HIDRO,PH,5 min,15 min,,no,yes
264,Zoologico,MARN,13.6836,-89.1948,HIDRO,PH,5 min,15 min,,no,yes
265,Apaneca Met,MARN,13.8479,-89.8389,MET,PT,10 min,,10 min,no,yes
267,La Bermeja,MARN,13.6905,-89.2097,HIDRO,PH,5 min,15 min,,no,yes
270,ENA-SanAndrés,MARN,13.8064,-89.4037,MET,PT,10 min,,10 min,no,yes
271,Providencia1,MARN,13.4740,-89.0960,MET,PT,10 min,,10 min,no,yes
A15,GUIJA,MARN,14.2270,-89.4700,CONVENCIONAL,P,Diaria,,,yes,yes
A18,FINCA LOS ANDES,MARN,13.8720,-89.6280,CONVENCIONAL,P,Diaria,,,yes,yes
A27,CANDELARIA DE LA FRONTERA,MARN,14.1190,-89.6520,CONVENCIONAL,P,Diaria,,,yes,yes
